"Topic","TimeWindow","Interdisciplinarity","Quantile"
"0","1990 - 1995",0.0809225088959677,"1"
"0","1996 - 2000",0.0568827733811948,"1"
"0","2001 - 2005",0.0349743956349803,"1"
"0","2006 - 2012",0.0263659040694295,"1"
"1","1990 - 1995",0.0286458333333333,"0"
"1","1996 - 2000",0.0164497595328322,"0"
"1","2001 - 2005",0,"0"
"1","2006 - 2012",0,"0"
"10","1990 - 1995",0.0801333567259584,"1"
"10","1996 - 2000",0.0683513289697529,"1"
"10","2001 - 2005",0.0430307354766593,"1"
"10","2006 - 2012",0.03371912182087,"1"
"11","1990 - 1995",0.0541433443771269,"1"
"11","1996 - 2000",0,"1"
"11","2001 - 2005",0.0196927241834861,"1"
"11","2006 - 2012",0.0259937632701165,"1"
"12","1990 - 1995",0.0756656564242196,"1"
"12","1996 - 2000",0.0715310233098608,"1"
"12","2001 - 2005",0.0471880902023403,"1"
"12","2006 - 2012",0.0370844779188998,"1"
"13","1990 - 1995",0.0713998041105882,"0"
"13","1996 - 2000",0.0464359091196029,"0"
"13","2001 - 2005",0.0287233785319827,"0"
"13","2006 - 2012",0,"0"
"14","1990 - 1995",0.0663802901544687,"1"
"14","1996 - 2000",0.045594738167111,"1"
"14","2001 - 2005",0.0295069350116738,"1"
"14","2006 - 2012",0.03326887622829,"1"
"15","1990 - 1995",0,"2"
"15","1996 - 2000",0.0574071999236708,"2"
"15","2001 - 2005",0.0305907161080487,"2"
"15","2006 - 2012",0.0309959872181018,"2"
"16","1990 - 1995",0.0777488460848355,"1"
"16","1996 - 2000",0.0649494723349134,"1"
"16","2001 - 2005",0.0400727474970824,"1"
"16","2006 - 2012",0.0392015176188091,"1"
"17","1990 - 1995",0.0822447423259567,"1"
"17","1996 - 2000",0.0518618077404844,"1"
"17","2001 - 2005",0.040669907267395,"1"
"17","2006 - 2012",0.041932732720019,"1"
"18","1990 - 1995",0.115973007752949,"1"
"18","1996 - 2000",0.0777052768792143,"1"
"18","2001 - 2005",0.0656047181282896,"1"
"18","2006 - 2012",0.0245315927226614,"1"
"19","1990 - 1995",0.100394180482599,"1"
"19","1996 - 2000",0.0736757436935861,"1"
"19","2001 - 2005",0.0592879946539022,"1"
"19","2006 - 2012",0.0529040559327024,"1"
"2","1990 - 1995",0.0787929471828334,"2"
"2","1996 - 2000",0.0711437837251066,"2"
"2","2001 - 2005",0.0408957515275024,"2"
"2","2006 - 2012",0.044066637037722,"2"
"20","1990 - 1995",0.0855486344973024,"0"
"20","1996 - 2000",0.0347953082912925,"0"
"20","2001 - 2005",0.0409504845095899,"0"
"20","2006 - 2012",0,"0"
"21","1990 - 1995",0.0756264189208206,"1"
"21","1996 - 2000",0.0499003037345353,"1"
"21","2001 - 2005",0.0306595483882232,"1"
"21","2006 - 2012",0.0264856980511446,"1"
"22","1990 - 1995",0.0783093800172831,"2"
"22","1996 - 2000",0.0511264828532148,"2"
"22","2001 - 2005",0,"2"
"22","2006 - 2012",0.0868301785749157,"2"
"23","1990 - 1995",0.0827067595843453,"1"
"23","1996 - 2000",0.0499829555880845,"1"
"23","2001 - 2005",0.0279017781529852,"1"
"23","2006 - 2012",0.0288995840241263,"1"
"24","1990 - 1995",0.0579786206377991,"1"
"24","1996 - 2000",0.0363683593128798,"1"
"24","2001 - 2005",0.0250298116070321,"1"
"24","2006 - 2012",0.0282066502163962,"1"
"25","1990 - 1995",0.0838297623660937,"1"
"25","1996 - 2000",0.0578272728942771,"1"
"25","2001 - 2005",0.0323143882914175,"1"
"25","2006 - 2012",0.038083703979178,"1"
"26","1990 - 1995",0.0726857962047348,"1"
"26","1996 - 2000",0.0553391182994658,"1"
"26","2001 - 2005",0.0269682501689055,"1"
"26","2006 - 2012",0.028672285101961,"1"
"27","1990 - 1995",0.0796629767348203,"1"
"27","1996 - 2000",0.029889163289398,"1"
"27","2001 - 2005",0.0246246842766662,"1"
"27","2006 - 2012",0.00391297270272613,"1"
"28","1990 - 1995",0.0641014722212821,"2"
"28","1996 - 2000",0.0773146045457355,"2"
"28","2001 - 2005",0.0428084238088784,"2"
"28","2006 - 2012",0.0506408939938373,"2"
"29","1990 - 1995",0.0783368140577322,"1"
"29","1996 - 2000",0.0618139410613549,"1"
"29","2001 - 2005",0.0436889582631107,"1"
"29","2006 - 2012",0.0356872300053638,"1"
"3","1990 - 1995",0.0788971145888783,"2"
"3","1996 - 2000",0.0519484628668767,"2"
"3","2001 - 2005",0.0435918360168131,"2"
"3","2006 - 2012",0.0498831441517687,"2"
"30","1990 - 1995",0.105571369081154,"0"
"30","1996 - 2000",0,"0"
"30","2001 - 2005",0.0524660223435194,"0"
"30","2006 - 2012",0,"0"
"31","1990 - 1995",0.0749426482213812,"1"
"31","1996 - 2000",0.0595841059283626,"1"
"31","2001 - 2005",0.0500893126647813,"1"
"31","2006 - 2012",0.0382464350849198,"1"
"32","1990 - 1995",0.0821891018344739,"1"
"32","1996 - 2000",0.0604522218792094,"1"
"32","2001 - 2005",0.0382523561901008,"1"
"32","2006 - 2012",0.0385958895279926,"1"
"33","1990 - 1995",0.0653434196066563,"1"
"33","1996 - 2000",0.0586500445656529,"1"
"33","2001 - 2005",0.0296144000673977,"1"
"33","2006 - 2012",0.0225271783768357,"1"
"34","1990 - 1995",0.0699829581685502,"1"
"34","1996 - 2000",0.03867509506489,"1"
"34","2001 - 2005",0.0245168968493731,"1"
"34","2006 - 2012",0.0294796753314935,"1"
"35","1990 - 1995",0.0662676297872007,"1"
"35","1996 - 2000",0.0470460556307922,"1"
"35","2001 - 2005",0.0160453302024368,"1"
"35","2006 - 2012",0.0289200672457479,"1"
"36","1990 - 1995",0.0615614331278223,"1"
"36","1996 - 2000",0.0477999816188415,"1"
"36","2001 - 2005",0.0317771456574255,"1"
"36","2006 - 2012",0.0226262236220158,"1"
"37","1990 - 1995",0.0889809815562062,"1"
"37","1996 - 2000",0.0583818519341332,"1"
"37","2001 - 2005",0.0342598988041237,"1"
"37","2006 - 2012",0.0266647741154448,"1"
"38","1990 - 1995",0.0664770482962421,"1"
"38","1996 - 2000",0.0447203291866931,"1"
"38","2001 - 2005",0.0272050948872453,"1"
"38","2006 - 2012",0.0269048614651577,"1"
"39","1990 - 1995",0.104564090324471,"1"
"39","1996 - 2000",0.0772907313636353,"1"
"39","2001 - 2005",0.0412409321987479,"1"
"39","2006 - 2012",0.0490441751763206,"1"
"4","1990 - 1995",0.0945249423056442,"1"
"4","1996 - 2000",0.0313543037029858,"1"
"4","2001 - 2005",0.0367525685780372,"1"
"4","2006 - 2012",0.0376650406570929,"1"
"40","1990 - 1995",0.0831874723581208,"1"
"40","1996 - 2000",0.0612967170674621,"1"
"40","2001 - 2005",0.0423220469238988,"1"
"40","2006 - 2012",0.0409552904354586,"1"
"41","1990 - 1995",0.0643755298711791,"1"
"41","1996 - 2000",0.0392067872015311,"1"
"41","2001 - 2005",0.0248481358012251,"1"
"41","2006 - 2012",0.0190298422423992,"1"
"42","1990 - 1995",0.0603742453529152,"1"
"42","1996 - 2000",0.0402193645737787,"1"
"42","2001 - 2005",0.0256929749210861,"1"
"42","2006 - 2012",0.0259919977707417,"1"
"43","1990 - 1995",0.0928881684496862,"1"
"43","1996 - 2000",0.0626572316716054,"1"
"43","2001 - 2005",0.0447390968823138,"1"
"43","2006 - 2012",0.0441491555030944,"1"
"44","1990 - 1995",0.0827982754108464,"1"
"44","1996 - 2000",0.0693321724006578,"1"
"44","2001 - 2005",0.042522255290073,"1"
"44","2006 - 2012",0.0358985417124391,"1"
"45","1990 - 1995",0.0726072616098459,"1"
"45","1996 - 2000",0.059077941368998,"1"
"45","2001 - 2005",0.0362687238057908,"1"
"45","2006 - 2012",0.0309986105264349,"1"
"46","1990 - 1995",0.0735704909599252,"1"
"46","1996 - 2000",0.0577216017946478,"1"
"46","2001 - 2005",0.0305099123363127,"1"
"46","2006 - 2012",0.0275667000638246,"1"
"47","1990 - 1995",0.0715327600548329,"1"
"47","1996 - 2000",0.0492237798498683,"1"
"47","2001 - 2005",0.0295352520850929,"1"
"47","2006 - 2012",0.025785761150725,"1"
"48","1990 - 1995",0.136938199305636,"1"
"48","1996 - 2000",0.0869105137021685,"1"
"48","2001 - 2005",0.0539738166313136,"1"
"48","2006 - 2012",0.0323339844858493,"1"
"49","1990 - 1995",0.0617386587701294,"0"
"49","1996 - 2000",0.0449568514812909,"0"
"49","2001 - 2005",0.0261239278344389,"0"
"49","2006 - 2012",0,"0"
"5","1990 - 1995",0.0706782436535359,"1"
"5","1996 - 2000",0.0485923373531571,"1"
"5","2001 - 2005",0.0322032656154334,"1"
"5","2006 - 2012",0.0344212993759686,"1"
"6","1990 - 1995",0.0878135765208213,"1"
"6","1996 - 2000",0.0645718702940137,"1"
"6","2001 - 2005",0.04399424661501,"1"
"6","2006 - 2012",0.0433102820773364,"1"
"7","1990 - 1995",0.0682754894805351,"1"
"7","1996 - 2000",0.0439956401580779,"1"
"7","2001 - 2005",0.0303050509219204,"1"
"7","2006 - 2012",0.0255813675797738,"1"
"8","1990 - 1995",0.0486469036685935,"1"
"8","1996 - 2000",0.0608191900266654,"1"
"8","2001 - 2005",0.0367300299270473,"1"
"8","2006 - 2012",0.0208037405234219,"1"
"9","1990 - 1995",0.070462675339752,"1"
"9","1996 - 2000",0.0523454789010355,"1"
"9","2001 - 2005",0.0348944141983121,"1"
"9","2006 - 2012",0.0329932613921805,"1"
