"Topic","TimeWindow","Interdisciplinarity","Quantile"
"0","1990 - 1995",0.242111642298786,"1"
"0","1996 - 2000",0.221679919083908,"1"
"0","2001 - 2005",0.203500763551604,"1"
"0","2006 - 2012",0.191868016135144,"1"
"1","1990 - 1995",0.0119219676445167,"0"
"1","1996 - 2000",0.186188133216182,"0"
"1","2001 - 2005",0,"0"
"1","2006 - 2012",0,"0"
"10","1990 - 1995",0.248793430547852,"1"
"10","1996 - 2000",0.271745759869756,"1"
"10","2001 - 2005",0.258004246506844,"1"
"10","2006 - 2012",0.227889891625896,"1"
"11","1990 - 1995",0.245175716538804,"1"
"11","1996 - 2000",0,"1"
"11","2001 - 2005",0.220311369371567,"1"
"11","2006 - 2012",0.227299085988286,"1"
"12","1990 - 1995",0.247011461996512,"1"
"12","1996 - 2000",0.284356164650236,"1"
"12","2001 - 2005",0.278388158789803,"1"
"12","2006 - 2012",0.256035059680019,"1"
"13","1990 - 1995",0.226153210200891,"0"
"13","1996 - 2000",0.172864724397901,"0"
"13","2001 - 2005",0.166006033288058,"0"
"13","2006 - 2012",0,"0"
"14","1990 - 1995",0.265518282993931,"1"
"14","1996 - 2000",0.258269157009205,"1"
"14","2001 - 2005",0.244647213263172,"1"
"14","2006 - 2012",0.24387829698305,"1"
"15","1990 - 1995",0,"2"
"15","1996 - 2000",0.217403890550917,"2"
"15","2001 - 2005",0.249090177947715,"2"
"15","2006 - 2012",0.241029286864318,"2"
"16","1990 - 1995",0.259040099093218,"1"
"16","1996 - 2000",0.259433399065054,"1"
"16","2001 - 2005",0.25710135950479,"1"
"16","2006 - 2012",0.247368466298369,"1"
"17","1990 - 1995",0.263962559799628,"1"
"17","1996 - 2000",0.218978379694963,"1"
"17","2001 - 2005",0.25560370835168,"1"
"17","2006 - 2012",0.239241049267028,"1"
"18","1990 - 1995",0.303602741743053,"1"
"18","1996 - 2000",0.293776826577392,"1"
"18","2001 - 2005",0.285045636388285,"1"
"18","2006 - 2012",0.262203394578326,"1"
"19","1990 - 1995",0.204299027194596,"2"
"19","1996 - 2000",0.294544416293753,"2"
"19","2001 - 2005",0.283196841580517,"2"
"19","2006 - 2012",0.275441457775986,"2"
"2","1990 - 1995",0.259350970855378,"1"
"2","1996 - 2000",0.265478314547345,"1"
"2","2001 - 2005",0.252919736062321,"1"
"2","2006 - 2012",0.252745264995254,"1"
"20","1990 - 1995",0.275846950354651,"0"
"20","1996 - 2000",0.234221138157579,"0"
"20","2001 - 2005",0.256562755591499,"0"
"20","2006 - 2012",0,"0"
"21","1990 - 1995",0.272716338480179,"1"
"21","1996 - 2000",0.275951000183678,"1"
"21","2001 - 2005",0.257105066912886,"1"
"21","2006 - 2012",0.232033779328363,"1"
"22","1990 - 1995",0.225796527698369,"1"
"22","1996 - 2000",0.208595605490249,"1"
"22","2001 - 2005",0,"1"
"22","2006 - 2012",0.219604700244048,"1"
"23","1990 - 1995",0.249891331176967,"1"
"23","1996 - 2000",0.152570151174183,"1"
"23","2001 - 2005",0.225738884765126,"1"
"23","2006 - 2012",0.207283439643802,"1"
"24","1990 - 1995",0.220560984658758,"1"
"24","1996 - 2000",0.192261292060854,"1"
"24","2001 - 2005",0.19627776768367,"1"
"24","2006 - 2012",0.200076622797289,"1"
"25","1990 - 1995",0.264493199966174,"1"
"25","1996 - 2000",0.246925829771807,"1"
"25","2001 - 2005",0.217345817694077,"1"
"25","2006 - 2012",0.218875637322916,"1"
"26","1990 - 1995",0.257651940529752,"1"
"26","1996 - 2000",0.244062260632754,"1"
"26","2001 - 2005",0.223810185354469,"1"
"26","2006 - 2012",0.206337575932143,"1"
"27","1990 - 1995",0.224260191440312,"1"
"27","1996 - 2000",0.20432165591759,"1"
"27","2001 - 2005",0.251460395391876,"1"
"27","2006 - 2012",0.0998808831996434,"1"
"28","1990 - 1995",0.233251579392638,"2"
"28","1996 - 2000",0.29288559693101,"2"
"28","2001 - 2005",0.252683463892803,"2"
"28","2006 - 2012",0.269821401455986,"2"
"29","1990 - 1995",0.248259309908959,"1"
"29","1996 - 2000",0.278288291000441,"1"
"29","2001 - 2005",0.261718375055591,"1"
"29","2006 - 2012",0.228935423801113,"1"
"3","1990 - 1995",0.261505336058582,"1"
"3","1996 - 2000",0.26252027868458,"1"
"3","2001 - 2005",0.279704070605636,"1"
"3","2006 - 2012",0.225269992263693,"1"
"30","1990 - 1995",0.266637974072646,"0"
"30","1996 - 2000",0,"0"
"30","2001 - 2005",0.256687239688011,"0"
"30","2006 - 2012",0,"0"
"31","1990 - 1995",0.256276338169358,"1"
"31","1996 - 2000",0.286466038995421,"1"
"31","2001 - 2005",0.269455867216916,"1"
"31","2006 - 2012",0.217028714314888,"1"
"32","1990 - 1995",0.275251593268749,"1"
"32","1996 - 2000",0.271291972143008,"1"
"32","2001 - 2005",0.248164890717854,"1"
"32","2006 - 2012",0.240414199129969,"1"
"33","1990 - 1995",0.240007151290086,"1"
"33","1996 - 2000",0.272232941672762,"1"
"33","2001 - 2005",0.234346568409068,"1"
"33","2006 - 2012",0.221739983561887,"1"
"34","1990 - 1995",0.265611872679345,"1"
"34","1996 - 2000",0.253677809374364,"1"
"34","2001 - 2005",0.241267948555071,"1"
"34","2006 - 2012",0.203048658585733,"1"
"35","1990 - 1995",0.260716477150473,"1"
"35","1996 - 2000",0.221554304252356,"1"
"35","2001 - 2005",0.184829313509798,"1"
"35","2006 - 2012",0.171101175882355,"1"
"36","1990 - 1995",0.183623457790455,"2"
"36","1996 - 2000",0.273589051643039,"2"
"36","2001 - 2005",0.244104438854981,"2"
"36","2006 - 2012",0.215497332772942,"2"
"37","1990 - 1995",0.281238552170641,"1"
"37","1996 - 2000",0.270272857781795,"1"
"37","2001 - 2005",0.242296123151765,"1"
"37","2006 - 2012",0.190135384163447,"1"
"38","1990 - 1995",0.256508980265515,"1"
"38","1996 - 2000",0.250609244273055,"1"
"38","2001 - 2005",0.230276119429819,"1"
"38","2006 - 2012",0.217706141686096,"1"
"39","1990 - 1995",0.274491052190397,"1"
"39","1996 - 2000",0.267788733732929,"1"
"39","2001 - 2005",0.25030038304237,"1"
"39","2006 - 2012",0.257891362948618,"1"
"4","1990 - 1995",0.226805151106235,"1"
"4","1996 - 2000",0.214962089372728,"1"
"4","2001 - 2005",0.245719974142451,"1"
"4","2006 - 2012",0.245730257784654,"1"
"40","1990 - 1995",0.262033421488761,"1"
"40","1996 - 2000",0.266115868448218,"1"
"40","2001 - 2005",0.255878291923876,"1"
"40","2006 - 2012",0.203961727708399,"1"
"41","1990 - 1995",0.233594079452475,"1"
"41","1996 - 2000",0.221901157522776,"1"
"41","2001 - 2005",0.212119685485345,"1"
"41","2006 - 2012",0.185106873341578,"1"
"42","1990 - 1995",0.227528733660199,"1"
"42","1996 - 2000",0.208660017336732,"1"
"42","2001 - 2005",0.202502987922886,"1"
"42","2006 - 2012",0.199150084772248,"1"
"43","1990 - 1995",0.280748735827111,"1"
"43","1996 - 2000",0.276226002962154,"1"
"43","2001 - 2005",0.267722660273496,"1"
"43","2006 - 2012",0.272790024999228,"1"
"44","1990 - 1995",0.26436846458391,"1"
"44","1996 - 2000",0.272119415317514,"1"
"44","2001 - 2005",0.260931007923039,"1"
"44","2006 - 2012",0.24545958623183,"1"
"45","1990 - 1995",0.265096939281782,"1"
"45","1996 - 2000",0.274637248807421,"1"
"45","2001 - 2005",0.237440415590867,"1"
"45","2006 - 2012",0.23051097713204,"1"
"46","1990 - 1995",0.260389485909812,"1"
"46","1996 - 2000",0.26406739220444,"1"
"46","2001 - 2005",0.22899602752795,"1"
"46","2006 - 2012",0.207823569090542,"1"
"47","1990 - 1995",0.262423739941385,"1"
"47","1996 - 2000",0.257271933837135,"1"
"47","2001 - 2005",0.229052941763872,"1"
"47","2006 - 2012",0.214336579971239,"1"
"48","1990 - 1995",0.314550707112786,"1"
"48","1996 - 2000",0.306077880912204,"1"
"48","2001 - 2005",0.274240964416692,"1"
"48","2006 - 2012",0.256503607044074,"1"
"49","1990 - 1995",0.208537611120835,"0"
"49","1996 - 2000",0.196102383793934,"0"
"49","2001 - 2005",0.14980888267423,"0"
"49","2006 - 2012",0,"0"
"5","1990 - 1995",0.252571941545024,"1"
