"Topic","TimeWindow","Interdisciplinarity","Quantile"
"0","1990 - 1995",0.389745769240422,"1"
"0","1996 - 2000",0.378492731752567,"1"
"0","2001 - 2005",0.37400226522078,"1"
"0","2006 - 2012",0.357748060332517,"1"
"1","1990 - 1995",0.172684332290819,"0"
"1","1996 - 2000",0.27817197288527,"0"
"1","2001 - 2005",0,"0"
"1","2006 - 2012",0,"0"
"10","1990 - 1995",0.373850986635115,"1"
"10","1996 - 2000",0.384904554388769,"1"
"10","2001 - 2005",0.385014538750997,"1"
"10","2006 - 2012",0.35474235685575,"1"
"11","1990 - 1995",0.35616679886738,"1"
"11","1996 - 2000",0,"1"
"11","2001 - 2005",0.340730665489929,"1"
"11","2006 - 2012",0.353367079110435,"1"
"12","1990 - 1995",0.375003209454849,"1"
"12","1996 - 2000",0.39724884287995,"1"
"12","2001 - 2005",0.393581884670723,"1"
"12","2006 - 2012",0.381629005991856,"1"
"13","1990 - 1995",0.37451747304471,"0"
"13","1996 - 2000",0.357809857553657,"0"
"13","2001 - 2005",0.347364446319103,"0"
"13","2006 - 2012",0,"0"
"14","1990 - 1995",0.374027644905216,"1"
"14","1996 - 2000",0.368234831968473,"1"
"14","2001 - 2005",0.369868854569847,"1"
"14","2006 - 2012",0.371569782514929,"1"
"15","1990 - 1995",0,"2"
"15","1996 - 2000",0.359548451312379,"2"
"15","2001 - 2005",0.368363022091883,"2"
"15","2006 - 2012",0.375217208650195,"2"
"16","1990 - 1995",0.378829922130129,"1"
"16","1996 - 2000",0.393709957483656,"1"
"16","2001 - 2005",0.389894235908438,"1"
"16","2006 - 2012",0.387915784433771,"1"
"17","1990 - 1995",0.387738403806705,"1"
"17","1996 - 2000",0.375896574370889,"1"
"17","2001 - 2005",0.388895735582985,"1"
"17","2006 - 2012",0.386307019880799,"1"
"18","1990 - 1995",0.409007178565058,"1"
"18","1996 - 2000",0.391648683606077,"1"
"18","2001 - 2005",0.386228806907112,"1"
"18","2006 - 2012",0.362222411486093,"1"
"19","1990 - 1995",0.344868129974696,"2"
"19","1996 - 2000",0.394506228213687,"2"
"19","2001 - 2005",0.389034324913611,"2"
"19","2006 - 2012",0.391751226405077,"2"
"2","1990 - 1995",0.373085678369557,"1"
"2","1996 - 2000",0.381841617514305,"1"
"2","2001 - 2005",0.380601534443767,"1"
"2","2006 - 2012",0.378783786183745,"1"
"20","1990 - 1995",0.389890010778568,"0"
"20","1996 - 2000",0.346774409517267,"0"
"20","2001 - 2005",0.357561151747036,"0"
"20","2006 - 2012",0,"0"
"21","1990 - 1995",0.378633412484262,"1"
"21","1996 - 2000",0.378497754314791,"1"
"21","2001 - 2005",0.374317730704254,"1"
"21","2006 - 2012",0.358268548665024,"1"
"22","1990 - 1995",0.363091153299804,"1"
"22","1996 - 2000",0.336616755609941,"1"
"22","2001 - 2005",0,"1"
"22","2006 - 2012",0.308436020011104,"1"
"23","1990 - 1995",0.383948781193817,"1"
"23","1996 - 2000",0.348625400332288,"1"
"23","2001 - 2005",0.363134388023768,"1"
"23","2006 - 2012",0.355844111015735,"1"
"24","1990 - 1995",0.362004664708995,"1"
"24","1996 - 2000",0.349613820559094,"1"
"24","2001 - 2005",0.355233736976963,"1"
"24","2006 - 2012",0.362963774637734,"1"
"25","1990 - 1995",0.386913490092478,"1"
"25","1996 - 2000",0.385935843788779,"1"
"25","2001 - 2005",0.374319276819497,"1"
"25","2006 - 2012",0.379250578650167,"1"
"26","1990 - 1995",0.380166883177542,"1"
"26","1996 - 2000",0.384210703412322,"1"
"26","2001 - 2005",0.364829988216013,"1"
"26","2006 - 2012",0.353805507688855,"1"
"27","1990 - 1995",0.377649251660037,"1"
"27","1996 - 2000",0.326890362628313,"1"
"27","2001 - 2005",0.358094451873947,"1"
"27","2006 - 2012",0.254154001157795,"1"
"28","1990 - 1995",0.362170468873912,"2"
"28","1996 - 2000",0.41039982391967,"2"
"28","2001 - 2005",0.389187216882554,"2"
"28","2006 - 2012",0.399482571572824,"2"
"29","1990 - 1995",0.379715216077165,"1"
"29","1996 - 2000",0.389837113625143,"1"
"29","2001 - 2005",0.384999819353466,"1"
"29","2006 - 2012",0.364610362930581,"1"
"3","1990 - 1995",0.368905810913102,"1"
"3","1996 - 2000",0.370333470914015,"1"
"3","2001 - 2005",0.380124881916902,"1"
