"ResAreas_Orig" "B_den" "C_den" "D" "TimeWindow" "TBI"
"Agriculture" 0.145833333333333 0.0625 0.208333333333333 "Time1_2" "Jaccard"
"Agronomy" 0.148936170212766 0.0638297872340425 0.212765957446809 "Time1_2" "Jaccard"
"Allergy" 0.333333333333333 0.5 0.833333333333333 "Time1_2" "Jaccard"
"Anatomy & Morphology" 0.307692307692308 0.461538461538462 0.769230769230769 "Time1_2" "Jaccard"
"Anthropology" 0.114285714285714 0.371428571428571 0.485714285714286 "Time1_2" "Jaccard"
"Archaeology" 0.3 0.7 1 "Time1_2" "Jaccard"
"Astronomy & Astrophysics" 0.25 0.75 1 "Time1_2" "Jaccard"
"Behavioral Sciences" 0.307692307692308 0.5 0.807692307692308 "Time1_2" "Jaccard"
"Biochemical Research Methods" 0.205882352941176 0.352941176470588 0.558823529411765 "Time1_2" "Jaccard"
"Biochemistry & Molecular Biology" 0.0612244897959184 0.0612244897959184 0.122448979591837 "Time1_2" "Jaccard"
"Biodiversity Conservation" 0.0869565217391304 0.130434782608696 0.217391304347826 "Time1_2" "Jaccard"
"Biology" 0.152173913043478 0.173913043478261 0.326086956521739 "Time1_2" "Jaccard"
"Biomedical Social Sciences" 0.5 0.5 1 "Time1_2" "Jaccard"
"Biophysics" 0.175 0.425 0.6 "Time1_2" "Jaccard"
"Biotechnology & Applied Microbiology" 0.0408163265306122 0.142857142857143 0.183673469387755 "Time1_2" "Jaccard"
"Business" 0.142857142857143 0.571428571428571 0.714285714285714 "Time1_2" "Jaccard"
"Cardiology" 0.111111111111111 0.777777777777778 0.888888888888889 "Time1_2" "Jaccard"
"Cell Biology" 0.195121951219512 0.219512195121951 0.414634146341463 "Time1_2" "Jaccard"
"Cell & Tissue Engineering" 0.666666666666667 0.333333333333333 1 "Time1_2" "Jaccard"
"Chemistry" 0.131578947368421 0.315789473684211 0.447368421052632 "Time1_2" "Jaccard"
"Clinical Neurology" 0.333333333333333 0.666666666666667 1 "Time1_2" "Jaccard"
