"Most_Probable_Topic","B_den","C_den","D","TimeWindow","TBI"
"0",0.0512820512820513,0.461538461538462,0.512820512820513,"Time1_2","Jaccard"
"1",0.333333333333333,0.666666666666667,1,"Time1_2","Jaccard"
"2",0.169491525423729,0.389830508474576,0.559322033898305,"Time1_2","Jaccard"
"3",0.148936170212766,0.425531914893617,0.574468085106383,"Time1_2","Jaccard"
"4",0.482758620689655,0.379310344827586,0.862068965517241,"Time1_2","Jaccard"
"5",0.287878787878788,0.0606060606060606,0.348484848484849,"Time1_2","Jaccard"
"6",0.0394736842105263,0.513157894736842,0.552631578947368,"Time1_2","Jaccard"
"7",0.123595505617978,0.101123595505618,0.224719101123595,"Time1_2","Jaccard"
"8",0.0967741935483871,0.806451612903226,0.903225806451613,"Time1_2","Jaccard"
"9",0.0333333333333333,0.388888888888889,0.422222222222222,"Time1_2","Jaccard"
"10",0.0612244897959184,0.295918367346939,0.357142857142857,"Time1_2","Jaccard"
"12",0,0.791208791208791,0.791208791208791,"Time1_2","Jaccard"
"13",0.290322580645161,0.112903225806452,0.403225806451613,"Time1_2","Jaccard"
"14",0.0746268656716418,0.26865671641791,0.343283582089552,"Time1_2","Jaccard"
"16",0.0396039603960396,0.564356435643564,0.603960396039604,"Time1_2","Jaccard"
"17",0.0714285714285714,0.357142857142857,0.428571428571429,"Time1_2","Jaccard"
"18",0.295454545454545,0.431818181818182,0.727272727272727,"Time1_2","Jaccard"
"19",0.114285714285714,0.714285714285714,0.828571428571429,"Time1_2","Jaccard"
"20",0.705882352941177,0.0392156862745098,0.745098039215686,"Time1_2","Jaccard"
"21",0.232876712328767,0.10958904109589,0.342465753424658,"Time1_2","Jaccard"
"22",0.434782608695652,0.391304347826087,0.826086956521739,"Time1_2","Jaccard"
"23",0.606060606060606,0.0303030303030303,0.636363636363636,"Time1_2","Jaccard"
"24",0.0681818181818182,0.136363636363636,0.204545454545455,"Time1_2","Jaccard"
"25",0.0459770114942529,0.275862068965517,0.32183908045977,"Time1_2","Jaccard"
"26",0.0757575757575758,0.333333333333333,0.409090909090909,"Time1_2","Jaccard"
"27",0.434782608695652,0.304347826086957,0.739130434782609,"Time1_2","Jaccard"
"28",0.0178571428571429,0.714285714285714,0.732142857142857,"Time1_2","Jaccard"
"29",0.157142857142857,0.185714285714286,0.342857142857143,"Time1_2","Jaccard"
"30",0.987341772151899,0,0.987341772151899,"Time1_2","Jaccard"
"31",0.0975609756097561,0.219512195121951,0.317073170731707,"Time1_2","Jaccard"
"32",0.025974025974026,0.454545454545455,0.480519480519481,"Time1_2","Jaccard"
"33",0.188679245283019,0.113207547169811,0.30188679245283,"Time1_2","Jaccard"
"34",0.3125,0.145833333333333,0.458333333333333,"Time1_2","Jaccard"
"35",0.255813953488372,0.27906976744186,0.534883720930233,"Time1_2","Jaccard"
"36",0.0256410256410256,0.82051282051282,0.846153846153846,"Time1_2","Jaccard"
"37",0.163636363636364,0.290909090909091,0.454545454545455,"Time1_2","Jaccard"
"38",0.28,0.22,0.5,"Time1_2","Jaccard"
"39",0.295081967213115,0.19672131147541,0.491803278688525,"Time1_2","Jaccard"
"40",0.0617283950617284,0.358024691358025,0.419753086419753,"Time1_2","Jaccard"
"41",0.333333333333333,0.104166666666667,0.4375,"Time1_2","Jaccard"
"42",0.106060606060606,0.151515151515152,0.257575757575758,"Time1_2","Jaccard"
"43",0.0759493670886076,0.392405063291139,0.468354430379747,"Time1_2","Jaccard"
"44",0.0425531914893617,0.48936170212766,0.531914893617021,"Time1_2","Jaccard"
"45",0.0285714285714286,0.7,0.728571428571429,"Time1_2","Jaccard"
"46",0,0.274725274725275,0.274725274725275,"Time1_2","Jaccard"
"47",0.0365853658536585,0.304878048780488,0.341463414634146,"Time1_2","Jaccard"
"48",0.158536585365854,0.390243902439024,0.548780487804878,"Time1_2","Jaccard"
"49",0.227272727272727,0.159090909090909,0.386363636363636,"Time1_2","Jaccard"
