"TimeWindow","ResArea_Orig","group","Value"
"1990_1995","Agriculture","N",485
"1990_1995","Agronomy","N",349
"1990_1995","Allergy","N",4
"1990_1995","Anatomy & Morphology","N",26
"1990_1995","Anthropology","N",44
"1990_1995","Archaeology","N",3
"1990_1995","Astronomy & Astrophysics","N",2
"1990_1995","Behavioral Sciences","N",24
"1990_1995","Biochemical Research Methods","N",39
"1990_1995","Biochemistry & Molecular Biology","N",708
"1990_1995","Biodiversity Conservation","N",227
"1990_1995","Biology","N",241
"1990_1995","Biomedical Social Sciences","N",2
"1990_1995","Biophysics","N",63
"1990_1995","Biotechnology & Applied Microbiology","N",295
"1990_1995","Business","N",16
"1990_1995","Cardiology","N",2
"1990_1995","Cell Biology","N",196
"1990_1995","Cell & Tissue Engineering","N",2
"1990_1995","Chemistry","N",74
"1990_1995","Clinical Neurology","N",2
"1990_1995","Computer Science","N",30
"1990_1995","Crystallography","N",2
"1990_1995","Demography","N",1
"1990_1995","Dentistry, Oral Surgery & Medicine","N",6
"1990_1995","Developmental Biology","N",29
"1990_1995","Ecology","N",1646
"1990_1995","Economics","N",15
"1990_1995","Education","N",1
"1990_1995","Electrochemistry","N",1
"1990_1995","Endocrinology & Metabolism","N",9
"1990_1995","Energy & Fuels","N",7
"1990_1995","Engineering","N",85
"1990_1995","Entomology","N",174
"1990_1995","Environmental Studies","N",71
"1990_1995","Ethics","N",5
"1990_1995","Ethnic Studies","N",1
"1990_1995","Evolutionary Biology","N",620
"1990_1995","Fisheries","N",137
"1990_1995","Food Science & Technology","N",17
"1990_1995","Forestry","N",237
"1990_1995","Gastroenterology & Hepatology","N",10
"1990_1995","General & Internal Medicine","N",3
"1990_1995","Genetics & Heredity","N",985
"1990_1995","Geography","N",171
"1990_1995","Geology","N",131
"1990_1995","Geosciences, Multidisciplinary","N",107
"1990_1995","Geriatrics & Gerontology","N",1
"1990_1995","Government & Law","N",3
"1990_1995","Health Care Sciences & Services","N",2
"1990_1995","Health Policy & Services","N",1
"1990_1995","Hematology","N",15
"1990_1995","History","N",4
"1990_1995","Horticulture","N",245
"1990_1995","Hospitality, Leisure, Sport & Tourism","N",1
"1990_1995","Imaging Science & Photographic Technology","N",6
"1990_1995","Immunology","N",404
"1990_1995","Industrial Relations & Labor","N",1
"1990_1995","Infectious Diseases","N",93
"1990_1995","Information Science & Library Science","N",1
"1990_1995","Integrative & Complementary Medicine","N",3
"1990_1995","Law","N",3
"1990_1995","Life Sciences & Biomedicine - Other Topics","N",241
"1990_1995","Limnology","N",99
"1990_1995","Management","N",1
"1990_1995","Marine & Freshwater Biology","N",802
"1990_1995","Materials Science","N",2
"1990_1995","Mathematical & Computational Biology","N",30
"1990_1995","Mathematics","N",12
"1990_1995","Mechanics","N",1
"1990_1995","Medical Subscience","N",7
"1990_1995","Medicine, General & Internal","N",3
"1990_1995","Medicine, Research & Experimental","N",43
"1990_1995","Meteorology & Atmospheric Sciences","N",35
"1990_1995","Microbiology","N",524
"1990_1995","Microscopy","N",10
"1990_1995","Mining & Mineral Processing","N",1
"1990_1995","Multidisciplinary Sciences","N",310
"1990_1995","Mycology","N",61
"1990_1995","Neurosciences","N",76
"1990_1995","Nutrition & Dietetics","N",2
"1990_1995","Obstetrics & Gynecology","N",2
"1990_1995","Oceanography","N",214
"1990_1995","Oncology","N",55
"1990_1995","Operations Research & Management Science","N",2
"1990_1995","Ornithology","N",61
"1990_1995","Paleontology","N",169
"1990_1995","Parasitology","N",107
"1990_1995","Pathology","N",27
"1990_1995","Pediatrics","N",2
"1990_1995","Pharmacology & Pharmacy","N",30
"1990_1995","Physical Geography","N",158
"1990_1995","Physics","N",3
"1990_1995","Physiology","N",68
"1990_1995","Planning & Development","N",3
"1990_1995","Plant Sciences","N",1077
"1990_1995","Polymer Science","N",1
"1990_1995","Psychiatry","N",2
"1990_1995","Psychology","N",8
"1990_1995","Public Administration","N",3
"1990_1995","Public, Environmental & Occupational Health","N",52
"1990_1995","Radiology, Nuclear Medicine & Medical Imaging","N",3
"1990_1995","Remote Sensing","N",6
"1990_1995","Reproductive Biology","N",19
"1990_1995","Research & Experimental Medicine","N",43
"1990_1995","Respiratory System","N",2
"1990_1995","Science & Technology - Other Topics","N",310
"1990_1995","Social Sciences","N",15
"1990_1995","Sociology","N",13
"1990_1995","Soil Science","N",68
"1990_1995","Sport Sciences","N",1
"1990_1995","Statistics & Probability","N",4
"1990_1995","Surgery","N",3
"1990_1995","Toxicology","N",44
"1990_1995","Transplantation","N",6
"1990_1995","Tropical Medicine","N",31
"1990_1995","Urban Studies","N",29
"1990_1995","Urology & Nephrology","N",2
"1990_1995","Veterinary Sciences","N",40
"1990_1995","Virology","N",168
"1990_1995","Water Resources","N",61
"1990_1995","Zoology","N",552
"1996_2000","Agriculture","N",1129
"1996_2000","Agronomy","N",826
"1996_2000","Allergy","N",7
"1996_2000","Anatomy & Morphology","N",39
"1996_2000","Anthropology","N",127
"1996_2000","Archaeology","N",10
"1996_2000","Area Studies","N",5
"1996_2000","Art","N",2
"1996_2000","Astronomy & Astrophysics","N",6
"1996_2000","Automation & Control Systems","N",13
"1996_2000","Behavioral Sciences","N",67
"1996_2000","Biochemical Research Methods","N",106
"1996_2000","Biochemistry & Molecular Biology","N",1588
"1996_2000","Biodiversity Conservation","N",1209
"1996_2000","Biology","N",565
"1996_2000","Biomedical Social Sciences","N",2
"1996_2000","Biophysics","N",133
"1996_2000","Biotechnology & Applied Microbiology","N",985
"1996_2000","Business","N",51
"1996_2000","Cardiology","N",9
"1996_2000","Cell Biology","N",355
"1996_2000","Cell & Tissue Engineering","N",1
"1996_2000","Chemistry","N",258
"1996_2000","Clinical Neurology","N",6
"1996_2000","Communication","N",1
"1996_2000","Computer Science","N",113
"1996_2000","Crystallography","N",3
"1996_2000","Demography","N",3
"1996_2000","Dentistry, Oral Surgery & Medicine","N",15
"1996_2000","Dermatology","N",6
"1996_2000","Developmental Biology","N",63
"1996_2000","Ecology","N",4989
"1996_2000","Economics","N",47
"1996_2000","Education","N",4
"1996_2000","Electrochemistry","N",2
"1996_2000","Endocrinology & Metabolism","N",19
"1996_2000","Energy & Fuels","N",23
"1996_2000","Engineering","N",188
"1996_2000","Entomology","N",463
"1996_2000","Environmental Studies","N",226
"1996_2000","Ergonomics","N",1
"1996_2000","Ethics","N",15
"1996_2000","Evolutionary Biology","N",1389
"1996_2000","Fisheries","N",449
"1996_2000","Food Science & Technology","N",47
"1996_2000","Forestry","N",890
"1996_2000","Gastroenterology & Hepatology","N",57
"1996_2000","General & Internal Medicine","N",14
"1996_2000","Genetics & Heredity","N",1891
"1996_2000","Geochemistry & Geophysics","N",4
"1996_2000","Geography","N",459
"1996_2000","Geology","N",382
"1996_2000","Geosciences, Multidisciplinary","N",284
"1996_2000","Geriatrics & Gerontology","N",1
"1996_2000","Government & Law","N",4
"1996_2000","Health Care Sciences & Services","N",2
"1996_2000","Health Policy & Services","N",1
"1996_2000","Hematology","N",17
"1996_2000","History","N",17
"1996_2000","Horticulture","N",418
"1996_2000","Hospitality, Leisure, Sport & Tourism","N",3
"1996_2000","Imaging Science & Photographic Technology","N",17
"1996_2000","Immunology","N",658
"1996_2000","Infectious Diseases","N",293
"1996_2000","Information Science & Library Science","N",3
"1996_2000","Instruments & Instrumentation","N",6
"1996_2000","Integrative & Complementary Medicine","N",15
"1996_2000","International Relations","N",5
"1996_2000","Language & Linguistics","N",1
"1996_2000","Law","N",3
"1996_2000","Legal Medicine","N",3
"1996_2000","Life Sciences & Biomedicine - Other Topics","N",565
"1996_2000","Limnology","N",171
"1996_2000","Linguistics","N",1
"1996_2000","Management","N",4
"1996_2000","Marine & Freshwater Biology","N",1731
"1996_2000","Materials Science","N",9
"1996_2000","Mathematical & Computational Biology","N",58
"1996_2000","Mathematical Methods In Social Sciences","N",1
"1996_2000","Mathematics","N",39
"1996_2000","Mechanics","N",3
"1996_2000","Medical Subscience","N",16
"1996_2000","Medicine, General & Internal","N",14
"1996_2000","Medicine, Legal","N",3
"1996_2000","Medicine, Research & Experimental","N",55
"1996_2000","Metallurgy & Metallurgical Engineering","N",2
"1996_2000","Meteorology & Atmospheric Sciences","N",54
"1996_2000","Microbiology","N",1632
"1996_2000","Microscopy","N",13
"1996_2000","Mineralogy","N",2
"1996_2000","Mining & Mineral Processing","N",6
"1996_2000","Multidisciplinary Sciences","N",511
"1996_2000","Mycology","N",202
"1996_2000","Nanoscience & Nanotechnology","N",3
"1996_2000","Neurosciences","N",118
"1996_2000","Nuclear Science & Technology","N",4
"1996_2000","Nutrition & Dietetics","N",8
"1996_2000","Obstetrics & Gynecology","N",2
"1996_2000","Oceanography","N",489
"1996_2000","Oncology","N",74
"1996_2000","Operations Research & Management Science","N",6
"1996_2000","Ophthalmology","N",1
"1996_2000","Optics","N",3
"1996_2000","Ornithology","N",138
"1996_2000","Paleontology","N",335
"1996_2000","Parasitology","N",241
"1996_2000","Pathology","N",102
"1996_2000","Pediatrics","N",3
"1996_2000","Peripheral Vascular Disease","N",4
"1996_2000","Pharmacology & Pharmacy","N",125
"1996_2000","Philosophy","N",2
"1996_2000","Physical Geography","N",421
"1996_2000","Physics","N",11
"1996_2000","Physiology","N",105
"1996_2000","Planning & Development","N",21
"1996_2000","Plant Sciences","N",2576
"1996_2000","Political Science","N",1
"1996_2000","Polymer Science","N",1
"1996_2000","Psychiatry","N",1
"1996_2000","Psychology","N",13
"1996_2000","Public Administration","N",22
"1996_2000","Public, Environmental & Occupational Health","N",116
"1996_2000","Radiology, Nuclear Medicine & Medical Imaging","N",3
"1996_2000","Religion","N",1
"1996_2000","Remote Sensing","N",29
"1996_2000","Reproductive Biology","N",28
"1996_2000","Research & Experimental Medicine","N",55
"1996_2000","Respiratory System","N",4
"1996_2000","Robotics","N",2
"1996_2000","Science & Technology - Other Topics","N",514
"1996_2000","Social Sciences","N",25
"1996_2000","Sociology","N",27
"1996_2000","Soil Science","N",141
"1996_2000","Spectroscopy","N",4
"1996_2000","Statistics & Probability","N",26
"1996_2000","Substance Abuse","N",1
"1996_2000","Surgery","N",6
"1996_2000","Telecommunications","N",1
"1996_2000","Thermodynamics","N",3
"1996_2000","Toxicology","N",115
"1996_2000","Transplantation","N",2
"1996_2000","Transportation","N",1
"1996_2000","Tropical Medicine","N",91
"1996_2000","Urban Studies","N",76
"1996_2000","Urology & Nephrology","N",5
"1996_2000","Veterinary Sciences","N",85
"1996_2000","Virology","N",373
"1996_2000","Water Resources","N",141
"1996_2000","Zoology","N",1147
"2001_2005","Agriculture","N",2241
"2001_2005","Agronomy","N",1481
"2001_2005","Allergy","N",9
"2001_2005","Anatomy & Morphology","N",56
"2001_2005","Anthropology","N",226
"2001_2005","Archaeology","N",24
"2001_2005","Architecture","N",1
"2001_2005","Area Studies","N",2
"2001_2005","Asian Studies","N",2
"2001_2005","Astronomy & Astrophysics","N",20
"2001_2005","Automation & Control Systems","N",41
"2001_2005","Behavioral Sciences","N",97
"2001_2005","Biochemical Research Methods","N",319
"2001_2005","Biochemistry & Molecular Biology","N",3409
"2001_2005","Biodiversity Conservation","N",2562
