topic number,init alpha,perplexity,log-likelihood
1,50,1093.2873680146,-6.9969443704
10,5,882.4909213671,-6.7827485014
20,2.5,811.9184088353,-6.6993998534
30,1.6666666667,785.8436002993,-6.6667577908
40,1.25,756.3038772875,-6.6284432495
50,1,736.3784079032,-6.6017441278
60,0.8333333333,733.6031957373,-6.5979682772
70,0.7142857143,723.4586405062,-6.5840433786
80,0.625,705.2168350319,-6.5585053229
90,0.5555555556,701.2042461436,-6.5527992086
100,0.5,707.2745926282,-6.5614189818
110,0.4545454545,699.0020174766,-6.5496536285
120,0.4166666667,693.6130085835,-6.5419141805
130,0.3846153846,689.8280261354,-6.5364423290
140,0.3571428571,693.8899707630,-6.5423134044
150,0.3333333333,690.0587225886,-6.5367766992
