"TimeWindow","Topic","Discipline","Weight"
"1990_1995","0","Agriculture",3
"1990_1995","0","Agronomy",2
"1990_1995","0","Anatomy & Morphology",1
"1990_1995","0","Biochemistry & Molecular Biology",1
"1990_1995","0","Biodiversity Conservation",5
"1990_1995","0","Biology",2
"1990_1995","0","Ecology",17
"1990_1995","0","Engineering",2
"1990_1995","0","Entomology",1
"1990_1995","0","Environmental Studies",1
"1990_1995","0","Evolutionary Biology",1
"1990_1995","0","Forestry",6
"1990_1995","0","Genetics & Heredity",2
"1990_1995","0","Geography",3
"1990_1995","0","Geology",2
"1990_1995","0","Geosciences, Multidisciplinary",2
"1990_1995","0","Horticulture",1
"1990_1995","0","Immunology",2
"1990_1995","0","Infectious Diseases",1
"1990_1995","0","Life Sciences & Biomedicine - Other Topics",2
"1990_1995","0","Limnology",3
"1990_1995","0","Marine & Freshwater Biology",4
"1990_1995","0","Meteorology & Atmospheric Sciences",1
"1990_1995","0","Microbiology",1
"1990_1995","0","Microscopy",1
"1990_1995","0","Multidisciplinary Sciences",2
"1990_1995","0","Mycology",1
"1990_1995","0","Oceanography",2
"1990_1995","0","Ornithology",2
"1990_1995","0","Paleontology",1
"1990_1995","0","Pharmacology & Pharmacy",1
"1990_1995","0","Physical Geography",3
"1990_1995","0","Physiology",2
"1990_1995","0","Plant Sciences",4
"1990_1995","0","Public, Environmental & Occupational Health",1
"1990_1995","0","Science & Technology - Other Topics",2
"1990_1995","0","Soil Science",2
"1990_1995","0","Tropical Medicine",1
"1990_1995","0","Urban Studies",1
"1990_1995","0","Virology",1
"1990_1995","0","Water Resources",2
"1990_1995","0","Zoology",9
"1996_2000","0","Agriculture",34
"1996_2000","0","Agronomy",21
"1996_2000","0","Anthropology",1
"1996_2000","0","Archaeology",1
"1996_2000","0","Behavioral Sciences",4
"1996_2000","0","Biochemistry & Molecular Biology",6
"1996_2000","0","Biodiversity Conservation",38
"1996_2000","0","Biology",20
"1996_2000","0","Biophysics",1
"1996_2000","0","Biotechnology & Applied Microbiology",9
"1996_2000","0","Business",1
"1996_2000","0","Cell Biology",7
"1996_2000","0","Cell & Tissue Engineering",1
"1996_2000","0","Chemistry",12
"1996_2000","0","Computer Science",2
"1996_2000","0","Developmental Biology",1
"1996_2000","0","Ecology",204
"1996_2000","0","Economics",1
"1996_2000","0","Education",1
"1996_2000","0","Endocrinology & Metabolism",1
"1996_2000","0","Engineering",10
"1996_2000","0","Entomology",18
"1996_2000","0","Environmental Studies",4
"1996_2000","0","Evolutionary Biology",31
"1996_2000","0","Fisheries",13
"1996_2000","0","Food Science & Technology",5
"1996_2000","0","Forestry",41
"1996_2000","0","Genetics & Heredity",35
"1996_2000","0","Geography",29
"1996_2000","0","Geology",17
"1996_2000","0","Geosciences, Multidisciplinary",15
"1996_2000","0","Horticulture",5
"1996_2000","0","Imaging Science & Photographic Technology",2
"1996_2000","0","Immunology",4
"1996_2000","0","Infectious Diseases",1
"1996_2000","0","Integrative & Complementary Medicine",1
"1996_2000","0","Life Sciences & Biomedicine - Other Topics",20
"1996_2000","0","Limnology",6
"1996_2000","0","Marine & Freshwater Biology",58
"1996_2000","0","Mathematical & Computational Biology",3
"1996_2000","0","Mathematics",1
"1996_2000","0","Medical Subscience",2
"1996_2000","0","Medicine, Research & Experimental",2
"1996_2000","0","Meteorology & Atmospheric Sciences",6
"1996_2000","0","Microbiology",8
"1996_2000","0","Mining & Mineral Processing",1
"1996_2000","0","Multidisciplinary Sciences",8
"1996_2000","0","Mycology",7
"1996_2000","0","Nanoscience & Nanotechnology",1
"1996_2000","0","Nutrition & Dietetics",1
"1996_2000","0","Oceanography",16
"1996_2000","0","Oncology",1
"1996_2000","0","Ornithology",7
"1996_2000","0","Paleontology",3
"1996_2000","0","Parasitology",3
"1996_2000","0","Pathology",2
"1996_2000","0","Pharmacology & Pharmacy",7
"1996_2000","0","Physical Geography",27
"1996_2000","0","Physics",2
"1996_2000","0","Physiology",3
"1996_2000","0","Plant Sciences",72
"1996_2000","0","Public, Environmental & Occupational Health",1
"1996_2000","0","Remote Sensing",2
"1996_2000","0","Reproductive Biology",2
"1996_2000","0","Research & Experimental Medicine",2
"1996_2000","0","Science & Technology - Other Topics",9
"1996_2000","0","Soil Science",9
"1996_2000","0","Spectroscopy",1
"1996_2000","0","Toxicology",7
"1996_2000","0","Transplantation",1
